Driver,First Grand Prix,Seasons,Constructors,Entries,Starts,Retirements,Finishes,Wins,Podiums,Pole Positions,Fastest Laps,Hat Tricks,Grand Chelems,Wins per Pole Position,Podiums per Finish,Finishes per Start
Max Verstappen,2014,10,2,186,183,31,152,52,96,31,29,10,4,1.67741935483871,0.631578947,0.830601093
Valtteri Bottas,2012,11,3,236,220,26,194,10,67,20,19,2,0,0.5,0.345360825,0.881818182
Daniel Ricciardo,2011,12,5,246,237,37,200,8,32,3,16,0,0,2.666666667,0.16,0.843881857
Lewis Hamilton,2007,16,2,330,330,30,300,103,197,104,65,19,6,0.990384615,0.656666667,0.909090909
Sebastian Vettel,2006,17,5,302,293,43,250,53,122,57,38,8,4,0.929824561,0.488,0.853242321
Nico Rosberg,2006,11,2,206,206,32,174,23,57,30,20,3,2,0.766666667,0.327586207,0.844660194
Felipe Massa,2002,15,3,272,269,42,227,11,41,16,15,4,0,0.6875,0.18061674,0.843866171
Mark Webber,2002,12,4,217,215,57,158,9,42,13,19,0,0,0.692307692,0.265822785,0.734883721
Fernando Alonso,2001,19,5,379,376,77,299,32,106,22,24,5,1,1.454545455,0.35451505,0.795212766
Kimi Räikkönen,2001,19,5,352,348,72,276,21,103,18,46,2,0,1.166666667,0.373188406,0.793103448
Juan Pablo Montoya,2001,6,2,95,94,30,64,7,30,13,12,1,0,0.538461538,0.46875,0.680851064
Jenson Button,2000,18,7,309,306,75,231,15,50,8,8,1,0,1.875,0.216450216,0.754901961
Jacques Villeneuve,1996,11,5,165,163,61,102,11,23,13,9,2,0,0.846153846,0.225490196,0.625766871
David Coulthard,1994,15,3,247,246,81,165,13,62,12,18,1,0,1.083333333,0.375757576,0.670731707
Heinz-Harald Frentzen,1994,10,5,161,156,68,88,3,18,2,6,0,0,1.5,0.204545455,0.564102564
Rubens Barrichello,1993,19,6,326,322,97,225,11,68,14,17,2,0,0.785714286,0.302222222,0.698757764
Eddie Irvine,1993,10,3,148,145,66,79,4,26,0,1,0,0,0,0.329113924,0.544827586
Damon Hill,1992,8,4,122,115,41,74,22,42,20,19,5,1,1.1,0.567567568,0.643478261
Michael Schumacher,1991,19,4,308,306,68,238,91,155,68,77,22,5,1.338235294,0.651260504,0.777777778
Mika Häkkinen,1991,11,2,165,161,62,99,20,51,26,25,5,2,0.769230769,0.515151515,0.614906832
Johnny Herbert,1989,12,7,165,161,78,83,3,7,0,0,0,0,0,0.084337349,0.51552795
Ayrton Senna,1984,11,4,162,161,60,101,41,80,65,19,7,4,0.630769231,0.792079208,0.627329193
Gerhard Berger,1984,14,5,211,210,95,115,10,48,12,21,2,1,0.833333333,0.417391304,0.547619048
Michele Alboreto,1981,14,6,215,194,102,92,5,23,2,5,0,0,2.5,0.25,0.474226804
Alain Prost,1980,13,4,202,199,59,140,51,106,33,41,8,0,1.545454545,0.757142857,0.703517588
Nigel Mansell,1980,15,4,191,187,92,95,31,59,32,30,5,4,0.96875,0.621052632,0.50802139
Elio de Angelis,1979,8,3,110,108,49,59,2,9,3,0,0,0,0.666666667,0.152542373,0.546296296
Nelson Piquet,1978,14,6,207,204,86,118,23,60,24,23,3,3,0.958333333,0.508474576,0.578431373
René Arnoux,1978,12,5,167,149,70,79,7,22,18,12,0,0,0.388888889,0.278481013,0.530201342
Keke Rosberg,1978,9,6,129,114,57,57,5,17,5,3,0,0,1,0.298245614,0.5
Didier Pironi,1978,5,3,72,70,26,44,3,13,4,5,0,0,0.75,0.295454545,0.628571429
Gilles Villeneuve,1977,6,2,68,67,30,37,6,13,2,8,1,1,3,0.351351351,0.552238806
Riccardo Patrese,1977,17,6,258,256,147,109,6,37,8,13,0,0,0.75,0.339449541,0.42578125
Alan Jones,1975,10,7,117,116,48,68,12,24,6,13,2,0,2,0.352941176,0.586206897
James Hunt,1973,7,4,94,92,46,46,10,23,14,8,2,0,0.714285714,0.5,0.5
John Watson,1973,12,6,154,152,58,94,5,20,2,5,0,0,2.5,0.212765957,0.618421053
Carlos Reutemann,1972,11,4,146,146,51,95,12,45,6,6,1,0,2,0.473684211,0.650684932
Jody Scheckter,1972,9,4,114,112,38,74,10,33,3,5,0,0,3.333333333,0.445945946,0.660714286
Niki Lauda,1971,13,5,177,171,80,91,25,54,24,24,3,1,1.041666667,0.593406593,0.532163743
Emerson Fittipaldi,1970,11,4,149,144,50,94,14,35,6,6,0,0,2.333333333,0.372340426,0.652777778
Ronnie Peterson,1970,9,3,123,123,54,69,10,26,14,9,1,0,0.714285714,0.376811594,0.56097561
Clay Regazzoni,1970,11,5,139,132,48,84,5,28,5,15,1,1,1,0.333333333,0.636363636
François Cevert,1970,4,2,47,46,15,31,1,13,0,2,0,0,0,0.419354839,0.673913043
Mario Andretti,1968,15,7,141,128,72,56,12,19,18,10,2,0,0.666666667,0.339285714,0.4375
Jacky Ickx,1967,13,9,122,116,50,66,8,25,13,14,4,1,0.615384615,0.378787879,0.568965517
Jackie Stewart,1965,9,4,100,99,37,62,27,43,17,15,4,4,1.588235294,0.693548387,0.626262626
Denny Hulme,1965,10,2,112,112,33,79,8,33,1,9,0,0,8,0.417721519,0.705357143
Jochen Rindt,1964,7,3,64,60,37,23,6,13,10,3,1,0,0.6,0.565217391,0.383333333
Jim Clark,1960,9,1,73,72,28,44,25,32,33,28,11,8,0.757575758,0.727272727,0.611111111
John Surtees,1960,14,8,122,111,59,52,6,24,8,11,3,0,0.75,0.461538462,0.468468468
Richie Ginther,1960,8,6,54,52,14,38,1,14,0,3,0,0,0,0.368421053,0.730769231
Dan Gurney,1959,12,7,91,86,45,41,4,19,3,6,0,0,1.333333333,0.463414634,0.476744186
Bruce McLaren,1959,12,3,104,100,39,61,4,27,0,3,0,0,0,0.442622951,0.61
Graham Hill,1958,18,6,180,175,78,97,14,36,13,10,2,0,1.076923077,0.371134021,0.554285714
Phil Hill,1958,8,7,55,47,18,29,3,16,6,6,1,0,0.5,0.551724138,0.617021277
Tony Brooks,1956,6,4,39,38,19,19,6,10,3,3,1,0,2,0.526315789,0.5
Wolfgang von Trips,1956,6,3,29,27,10,17,2,6,1,0,0,0,2,0.352941176,0.62962963
Jack Brabham,1955,16,4,126,123,57,66,14,31,13,12,3,2,1.076923077,0.46969697,0.536585366
Luigi Musso,1953,6,2,25,24,11,13,1,7,0,1,0,0,0,0.538461538,0.541666667
Peter Collins,1952,7,4,35,32,20,12,3,9,0,0,0,0,0,0.75,0.375
Mike Hawthorn,1952,7,5,47,45,13,32,3,18,4,6,1,1,0.75,0.5625,0.711111111
Stirling Moss,1951,11,10,67,66,33,33,16,24,16,19,4,1,1,0.727272727,0.5
Juan Manuel Fangio,1950,9,5,52,51,14,37,24,35,29,23,9,2,0.827586207,0.945945946,0.725490196
Alberto Ascari,1950,6,3,33,32,14,18,13,17,14,12,7,5,0.928571429,0.944444444,0.5625
Giuseppe Farina,1950,7,4,37,33,10,23,5,20,5,5,1,0,1,0.869565217,0.696969697
José Froilán González,1950,10,4,26,26,10,16,2,15,3,6,0,0,0.666666667,0.9375,0.615384615
Maurice Trintignant,1950,15,11,90,81,40,41,2,10,0,1,0,0,0,0.243902439,0.50617284
Luigi Fagioli,1950,2,1,7,7,1,6,1,6,0,0,0,0,0,1,0.857142857
Piero Taruffi,1950,6,5,21,18,6,12,1,5,0,1,0,0,0,0.416666667,0.666666667
